LeaderID,Name,NameAlternative,CurrentPositionString,Sex,BirthDateString,BirthPlaceString,DeathReported,DeathString
김용연,김용연,김룡연,(사망) 만경대혁명학원 원장,남성,1916년 01월 24일,량강도 혜산시,(사망),2008년 03월 19일
김용주,김용주,,,미상,연도미상,,,연도미상
김용진,김용진,,,남성,1953년 02월 23일,,,연도미상
김용철,김용철,,,남성,연도미상,,,연도미상
김웅철,김웅철,,,미상,연도미상,,,연도미상
김원균,김원균,,(사망) 조선문화예술총동맹 산하기관 기타 조선음악가동맹 위원장,남성,1917년,평안남도,(사망),2002년 04월
김원홍,김원홍,,,남성,1945년,황해북도,,연도미상
김유일,김유일,,전력공업성 상,남성,연도미상,,,연도미상
김윤심,김윤심,,(사망),남성,연도미상,,(사망),연도미상
김윤혁a,김윤혁,,(사망),남성,1926년,평안남도 양덕군,(사망),2006년 04월
김윤혁b,김윤혁,,철도성 부상,남성,1957년,,,연도미상
김의순,김의순,,당 선전선동부 부부장,남성,1945년 08월 15일,,,연도미상
김익현,김익현,,(사망) 당 중앙군사위원회 위원,남성,1916년,황해북도,(사망),2009년 01월 15일
김인식,김인식,,,남성,1948년,,,연도미상
김일,김일,,(사망) 당 정치국 상무위원,남성,1910년 03월 20일,함경북도,(사망),1984년 03월
김일국,김일국,,체육성 상,남성,연도미상,,,연도미상
김일성,김일성,,(사망) 국가 주석,남성,1912년 04월 15일,평안남도 대동군,(사망),1994년 07월 08일
김일철a,김일철,,,남성,1930년,평양시,,연도미상
김일철b,김일철,,,남성,연도미상,,,연도미상
김재룡,김재룡,김재용,당 조직지도부 부장,남성,1959년,,,연도미상
김재성,김재성,,최고인민회의 제14기 대의원,남성,연도미상,,,연도미상
김정각,김정각,,인민군 차수,남성,1941년 07월 20일,평안남도 증산군,,연도미상
김정관,김정관,,국방성 제1부상,남성,연도미상,,,연도미상
김정기,김정기,,,남성,1944년 07월 02일,,,연도미상
김정남,김정남,,기계공업성 상,남성,연도미상,,,연도미상
김정숙,김정숙,,조선대외문화연락위원회 위원장,여성,1931년 01월 01일,평양시,,연도미상
김정순,김정순,,최고인민회의 상임위원회 위원,여성,연도미상,,,연도미상
김정식,김정식,,당 군수공업부 부부장,남성,연도미상,,,연도미상
김정은,김정은,,조선노동당 총비서,남성,1984년 01월 08일,,,연도미상
김정일,김정일,,(사망) 조선노동당 총비서,남성,1942년 02월 16일,북한지역외 소련 하바로프스크,(사망),2011년 12월 17일
김정임,김정임,,당 중앙위원회 위원,여성,1935년,,,연도미상
김정호,김정호,,사회안전성 상,남성,연도미상,,,연도미상
김조국,김조국,,당 조직지도부 제1부부장,남성,연도미상,,,연도미상
김중린,김중린,,(사망) 당 비서국 비서,남성,1923년 12월 07일,자강도 우시군,(사망),2010년 04월 28일
김중협,김중협,,,남성,1938년 01월 01일,함경남도,,연도미상
김지선,김지선,,,미상,연도미상,,,연도미상
김진범,김진범,,조선대외문화연락위원회 부위원장,남성,1945년 03월 25일,함경북도,,연도미상
김창광,김창광,,,미상,연도미상,,,연도미상
김창남,김창남,,예산위원회 위원,미상,연도미상,,,연도미상
김창도,김창도,,조선김일성화김정일화위원회 위원장,미상,연도미상,,,연도미상
김창룡,김창룡,김창용,조선사회과학자협회 부위원장,남성,1944년 01월 01일,,,연도미상
김창민,김창민,,,미상,연도미상,,,연도미상
김창선,김창선,,국무위원회 부장,남성,연도미상,함경북도 명천군,,연도미상
김창섭,김창섭,,(사망) 국가안전보위성 정치국 국장,남성,1946년 01월 02일,평안남도 은산군,(사망),연도미상
김창수,김창수,,,남성,1940년 01월 01일,,,연도미상
김창식,김창식,,,남성,연도미상,,,연도미상
김창엽,김창엽,,최고인민회의 제14기 대의원,남성,연도미상,,,연도미상
김천균,김천균,,최고인민회의 제14기 대의원,남성,1960년 03월 17일,,,연도미상
김천길,김천길,,,미상,연도미상,,,연도미상
김철,김철,,최고인민회의 제14기 대의원,남성,1951년,,,연도미상
김철규,김철규,,호위사령부 부사령관,남성,연도미상,,,연도미상
김철만,김철만,,(사망) 당 중앙위원회 위원,남성,1920년 01월 01일,량강도,(사망),2018년 12월 03일
김철삼,김철삼,,함경북도 당위원회 책임비서,미상,연도미상,,,연도미상
김철수,김철수,,채취공업성 상,미상,연도미상,,,연도미상
김춘섭,김춘섭,,,남성,연도미상,,,연도미상
김충걸,김충걸,,금속공업성 상,남성,연도미상,,,연도미상
김충성,김충성,,국가자원개발성 상,남성,연도미상,,,연도미상
김충일,김충일,,항공 및 반항공군 사령부 사령관,남성,연도미상,,,연도미상
김태봉,김태봉,,,남성,연도미상,,,연도미상
김태종,김태종,,,남성,1947년 12월 12일,,,연도미상
김평일,김평일,,,남성,1954년 08월 10일,평양시,,연도미상
김평해,김평해,,최고인민회의 제14기 대의원,남성,1941년 10월 08일,자강도 전천군,,연도미상
김풍기,김풍기,,,남성,1940년 12월 19일,,,연도미상
김혁철,김혁철,,스페인(에스빠냐) 대사관 대사,미상,연도미상,,,연도미상
김현주,김현주,,,미상,연도미상,,,연도미상
김형룡,김형룡,김형용,인민무력성 부상,남성,연도미상,,,연도미상
김형식a,김형식,,,남성,연도미상,,,연도미상
김형식b,김형식,,법무부 부장,남성,연도미상,,,연도미상
김형준,김형준,,최고인민회의 제14기 대의원,남성,1949년 11월 26일,함경북도,,연도미상
김호철,김호철,,최고인민회의 외교위원회 위원,미상,연도미상,,,연도미상
김희숙,김희숙,,,미상,연도미상,,,연도미상
김희영,김희영,,,남성,연도미상,,,연도미상
김히택,김히택,,,남성,1935년 04월 20일,평안남도,,연도미상
노광철,노광철,,인민군 상장,남성,연도미상,,,연도미상
동정호,동정호,,최고인민회의 제14기 대의원,남성,1956년 01월 01일,남포시,,연도미상
라동희,라동희,나동희,,남성,1935년,,,연도미상
량만길,량만길,양만길,,남성,1941년 04월 16일,평안남도,,연도미상
량원호,량원호,,,남성,연도미상,,,연도미상
량정훈,량정훈,,최고인민회의 제14기 대의원,남성,연도미상,,,연도미상
려춘석,려춘석,여춘석,인민군 대장,남성,1930년 07월,평안북도 정주시,,연도미상
렴철성,렴철성,,인민군 상장,남성,연도미상,,,연도미상
렴철수,렴철수,,최고인민회의 제14기 대의원,남성,연도미상,,,연도미상
로두철,로두철,노두철,최고인민회의 제14기 대의원,남성,1950년 01월 01일,함경남도,,연도미상
로배권,로배권,노배권,,남성,연도미상,,,연도미상
로성실,로성실,노성실,,여성,연도미상,황해북도,,연도미상
류미영,류미영,유미영,(사망) 조선천도교청우당 중앙위원회 위원장,여성,1921년 01월 07일,북한지역외 남한 서울,(사망),2016년 11월 23일
류영선,류영선,유영선,,남성,1941년,함경남도 정평군,,연도미상
류영섭,류영섭,유영섭,,남성,1946년,평안북도,,연도미상
류현식,류현식,유현식,,남성,연도미상,,,연도미상
리강선,리강선,,,여성,연도미상,,,연도미상
리경식,리경식,이경식,,남성,1948년 09월,평안남도,,연도미상
리경철,리경철,이경철,당 중앙검사위원회 위원,미상,연도미상,,,연도미상
리광곤,리광곤,이광곤,,남성,연도미상,,,연도미상
리광근,리광근,이광근,대외경제성 부상,남성,1954년,함경남도,,연도미상
리광철,리광철,,,남성,연도미상,,,연도미상
리광호,리광호,이광호,(사망),남성,1958년 09월 24일,,(사망),2009년 06월 26일
리국철,리국철,,,남성,연도미상,,,연도미상
리근,리근,이근,,남성,1946년 07월 07일,함경남도,,연도미상
리길성,리길성,,외무성 부상,남성,연도미상,,,연도미상
리길송,리길송,이길송,,남성,1923년,함경남도,,연도미상
리길춘,리길춘,이길춘,최고인민회의 제14기 대의원,미상,연도미상,,,연도미상
리동호,리동호,이동호,체육성 부상,남성,1939년 05월 08일,함경남도,,연도미상
리두성,리두성,,당 중앙위원회 부장,남성,연도미상,,,연도미상
리득남,리득남,이득남,,남성,연도미상,,,연도미상
리룡남,리룡남,이룡남,중국 대사관 대사,남성,1960년 08월 08일,평양시,,연도미상
리룡하,리룡하,이룡하,(사망) 당 중앙위원회 제1부부장,미상,연도미상,함경북도,(사망),2013년 11월
리만건,리만건,이만건,당 중앙위원회 제1부부장,남성,1945년 01월 01일,평안남도,,연도미상
리명길,리명길,이명길,조선.캄보디아친선협회(캄보쟈) 위원장,남성,1963년 01월 01일,,,연도미상
리명산,리명산,이명산,대외경제성 부상,남성,연도미상,자강도,,연도미상
리명수,리명수,이명수,최고사령부 제1부사령관,남성,1934년 02월 20일,함경북도 명천군,,연도미상
리무영,리무영,이무영,,남성,1948년 04월 08일,남포시,,연도미상
리병삼,리병삼,이병삼,,남성,1943년,평안남도,,연도미상
리병철,리병철,이병철,당 정치국 상무위원,남성,1948년,,,연도미상
리봉죽,리봉죽,이봉죽,인민군 중장,남성,1940년 01월 01일,,,연도미상
리상관,리상관,이상관,,남성,연도미상,,,연도미상
리상원,리상원,이상원,최고인민회의 제14기 대의원,남성,1951년,,,연도미상
리선권,리선권,,외무성 상,남성,연도미상,,,연도미상
리설주,리설주,이설주,,여성,1989년,,,연도미상
리성국a,리성국,,(사망),남성,연도미상,,(사망),연도미상
리성국b,리성국,,양강도 인민위원회 위원장,남성,연도미상,,,연도미상
리성학,리성학,,내각 부총리,남성,연도미상,,,연도미상
리성호,리성호,이성호,,남성,1963년 06월 21일,량강도,,연도미상
리수용,리수용,이수용,최고인민회의 제14기 대의원,남성,1935년,함경남도,,연도미상
리승호,리승호,이승호,(사망) 중앙통계국 국장,남성,연도미상,,(사망),2014년 08월 10일
리영길,리영길,이영길,국무위원회 위원,남성,1955년,,,연도미상
리영래,리영래,리영래,최고인민회의 제14기 대의원,남성,연도미상,,,연도미상
리영수,리영수,이영수,,남성,1949년,량강도,,연도미상
리영용,리영용,이영용,,남성,1955년 02월 25일,,,연도미상
리영익,리영익,,,미상,연도미상,,,연도미상
리영호,리영호,이영호,,남성,1942년 10월 05일,강원도 통천군,,연도미상
리용무,리용무,이용무,(사망),남성,1925년 01월 25일,평안남도 평성시,(사망),2022년 01월 27일
리용선,리용선,이용선,,남성,1953년 09월 13일,,,연도미상
리용주,리용주,이용주,인민군 대장,남성,연도미상,,,연도미상
리용철a,리용철,이용철,(사망),남성,1929년 03월 24일,,(사망),2010년 04월
리용철b,리용철,이용철,최고인민회의 제12기 대의원,남성,1967년,평양시 보통강구역,,연도미상
리용호,리용호,이용호,최고인민회의 제14기 대의원,남성,1956년 07월 10일,평양시,,연도미상
리원일,리원일,이원일,,남성,1952년,,,연도미상
리을설,리을설,이을설,(사망) 인민군 공화국 원수,남성,1921년,함경북도 청진시,(사망),2015년 11월 07일
리일환,리일환,이일환,당 비서국 비서,남성,1960년,평양시,,연도미상
리자방,리자방,이자방,,남성,연도미상,,,연도미상
리재남,리재남,,예산위원회 위원,남성,연도미상,,,연도미상
리재일,리재일,이재일,(사망) 당 선전선동부 고문,남성,1934년,평양시,(사망),2021년 02월 04일
리정남,리정남,,함경남도 당위원회 책임비서,남성,연도미상,,,연도미상
리제강,리제강,이제강,(사망) 최고인민회의 제12기 대의원,남성,1930년,,(사망),2010년 06월 02일
리제선,리제선,이제선,,남성,1941년,함경북도,,연도미상
리종국,리종국,이종국,당 중앙위원회 후보위원,남성,1954년,강원도,,연도미상
리종무,리종무,이종무,당 중앙위원회 후보위원,남성,1949년 02월 16일,,,연도미상
리종산,리종산,이종산,(사망) 인민군 차수,남성,1922년,북한지역외 중국,(사망),2011년 07월
리종식,리종식,,,미상,연도미상,,,연도미상
리종옥,리종옥,이종옥,(사망) 최고인민회의 상임위원회 명예부위원장,남성,1916년 01월 10일,함경북도 김책시,(사망),1999년 09월 23일
리종혁,리종혁,이종혁,조국통일연구원 원장,남성,1936년 10월 30일,강원도,,연도미상
리주오,리주오,이주오,당 중앙위원회 위원,남성,1956년,,,연도미상
리찬복,리찬복,이찬복,,남성,1935년,,,연도미상
리철만,리철만,이철만,농업부 부장,남성,1968년,,,연도미상
리철산,리철산,,중앙통계국 국장,남성,연도미상,,,연도미상
리철진,리철진,,,남성,연도미상,,,연도미상
리춘삼,리춘삼,,,남성,1955년 10월 20일,,,연도미상
리충길,리충길,,당 중앙위원회 위원,미상,연도미상,,,연도미상
리태남,리태남,이태남,(사망),남성,1938년 03월 26일,평안북도 염주군,(사망),연도미상
리태섭,리태섭,,당 정치국 후보위원,남성,연도미상,,,연도미상
리태일,리태일,,양강도 당위원회 책임비서,남성,연도미상,,,연도미상
리태철,리태철,이태철,사회안전성 제1부상,남성,1947년,,,연도미상
리택건,리택건,,당 통일전선부 부부장,남성,1962년,,,연도미상
리하일,리하일,이하일,인민군 차수,남성,1935년,량강도,,연도미상
리학철,리학철,이학철,,남성,연도미상,,,연도미상
리혁권,리혁권,,국가건설감독성 상,남성,연도미상,,,연도미상
리현,리현,,당 통일전선부 실장,남성,1966년 08월 09일,,,연도미상
리형근,리형근,,당 중앙위원회 후보위원,남성,연도미상,,,연도미상
리혜정,리혜정,,사회과학원 원장,여성,연도미상,,,연도미상
리호림,리호림,,당 정치국 후보위원,미상,연도미상,,,연도미상
리히용,리히용,,당 중앙검사위원회 부위원장,남성,연도미상,,,연도미상
림경만,림경만,임경만,당 중앙위원회 위원,남성,1946년 08월 28일,평안남도,,연도미상
림광일,림광일,,인민군 총참모부 총참모장,남성,1965년,,,연도미상
림남수,림남수,임남수,,미상,연도미상,,,연도미상
림동옥,림동옥,임동옥,(사망) 당 통일전선부 부장,남성,1936년,평안북도,(사망),2006년 08월 20일
림상종,림상종,임상종,(사망) 당 38호실 실장,남성,1927년 09월 01일,,(사망),2007년 10월
림준길,림준길,임준길,,미상,연도미상,,,연도미상
마원춘,마원춘,,국무위원회 설계국 국장,남성,1956년 06월 30일,,,연도미상
마종선,마종선,,화학공업성 상,남성,연도미상,,,연도미상
맹경일,맹경일,,최고인민회의 상임위원회 위원,남성,1963년 04월 21일,,,연도미상
문경덕,문경덕,,평안북도 당위원회 위원장,남성,1957년 10월 12일,평양시,,연도미상
문명학,문명학,,최고인민회의 제14기 대의원,남성,연도미상,,,연도미상
문응조,문응조,,수매양정성 상,남성,1949년 10월 21일,평안남도,,연도미상
문재덕,문재덕,,,남성,1945년 07월 04일,함경남도,,연도미상
문재철,문재철,,외교단사업총국 부총국장,남성,1946년 03월 24일,강원도,,연도미상
문철,문철,,최고인민회의 상임위원회 위원,남성,연도미상,,,연도미상
박경삼,박경삼,,,남성,연도미상,,,연도미상
박경선,박경선,,,남성,1942년 09월 29일,함경북도,,연도미상
박경철,박경철,,,남성,1959년 01월 01일,강원도,,연도미상
박관오,박관오,,,남성,1932년,,,연도미상
박광식,박광식,,당 중앙검사위원회 위원,미상,연도미상,,,연도미상
박광웅,박광웅,,당 중앙검사위원회 위원,미상,연도미상,,,연도미상
박광호,박광호,,최고인민회의 제14기 대의원,남성,연도미상,,,연도미상
박금희,박금희,,최고인민회의 부의장,미상,연도미상,,,연도미상
박기서,박기서,,(사망) 당 중앙군사위원회 위원,남성,1929년,,(사망),2010년 01월 05일
박길연,박길연,,,남성,1943년 01월 26일,자강도,,연도미상
박도춘,박도춘,,인민군 대장,남성,1944년 03월 09일,자강도 낭림군,,연도미상
박림수,박림수,,인민군판문점대표부 대표,남성,1950년 11월 08일,,,연도미상
박만호,박만호,,당 중앙위원회 후보위원,남성,연도미상,,,연도미상
박명국,박명국,,외무성 부상,남성,1956년 06월 01일,평안북도,,연도미상
박명선,박명선,,당 중앙위원회 후보위원,여성,1943년 06월 15일,평양시,,연도미상
박명순,박명순,,당 경공업부 부장,여성,연도미상,,,연도미상
박명철a,박명철,,조국통일민주주의전선 의장,남성,1941년 09월 15일,평양시,,연도미상
박명철b,박명철,,민족경제협력위원회 부위원장,남성,연도미상,,,연도미상
박봉주,박봉주,,최고인민회의 제14기 대의원,남성,1939년 04월 10일,함경북도 김책시,,연도미상
박성철a,박성철,,(사망) 최고인민회의 상임위원회 명예부위원장,남성,1913년 09월 02일,북한지역외 남한 경북 경주,(사망),2009년 10월 29일
박성철b,박성철,,당 중앙위원회 위원,남성,연도미상,,,연도미상
박송남,박송남,,,남성,연도미상,,,연도미상
박송봉,박송봉,,(사망) 당 군수공업부 제1부부장,남성,1932년,북한지역외 중국 연길,(사망),2001년 02월
박수길,박수길,,,남성,1947년,평안남도,,연도미상
박수일,박수일,,1군단 군단장,남성,연도미상,,,연도미상
박순희,박순희,,,여성,1955년 12월 24일,,,연도미상
박승원,박승원,,인민군 상장,남성,1946년 11월,,,연도미상
박영식,박영식,,인민군 대장,남성,연도미상,,,연도미상
박영호,박영호,,최고인민회의 제14기 대의원,남성,연도미상,,,연도미상
박용석,박용석,,(사망) 당 검열위원회 위원장,남성,1928년,함경북도,(사망),2007년 03월
박용일,박용일,,조선사회민주당 중앙위원회 위원장,남성,1966년,,,연도미상
박용팔,박용팔,,,남성,1968년,,,연도미상
박의춘,박의춘,,,남성,1935년 01월 01일,함경남도,,연도미상
박인철,박인철,,최고인민회의 상임위원회 위원,남성,연도미상,,,연도미상
박재경,박재경,,조선반제노병위원회 부위원장,남성,1933년 06월 10일,함경북도,,연도미상
박정근,박정근,,당 정치국 위원,남성,연도미상,,,연도미상
박정남,박정남,,최고인민회의 제14기 대의원,남성,연도미상,,,연도미상
박정순,박정순,,(사망) 당 조직지도부 제1부부장,남성,1928년 07월 01일,평안남도 평원군,(사망),2011년 01월 22일
박정천,박정천,,당 정치국 상무위원,남성,연도미상,,,연도미상
박지민,박지민,,예산위원회 위원,미상,연도미상,,,연도미상
박진식,박진식,,평양출판사 사장,남성,1948년 01월 01일,함경남도,,연도미상
박창호,박창호,,황해북도 당위원회 책임비서,남성,연도미상,,,연도미상
박철민,박철민,,최고인민회의 부의장,남성,연도미상,,,연도미상
박춘남,박춘남,,최고인민회의 제14기 대의원,남성,연도미상,,,연도미상
박태덕,박태덕,,당 규율조사부 부장,남성,1955년,,,연도미상
박태성,박태성,,당 비서국 비서,남성,1955년 09월 14일,,,연도미상
